date,subject,msg
"Wed, 25 Mar 2020 17:04:33 -0700 (PDT)",Subject: UPennAlert issued at 3/25/20 8:02 PM,"UPennAlert: Robbery with Weapon at 3700 BLOCK MARKET ST. Use caution, police on scene, avoid area. See www.publicsafety.upenn.edu for details
"
"Thu, 26 Nov 2020 17:40:44 -0800 (PST)",Subject: UPennAlert issued at 11/26/20 8:40 PM,"UPennAlert: All clear in the area of 4300 BLOCK PINE STREET. Police and Allied Security patrolling the area You may resume normal activity. See www.publicsafety.upenn.edu
"
"Wed, 17 Apr 2019 09:24:14 -0700 (PDT)",Subject: UPennAlert issued at 4/17/19 12:21 PM,"UPennAlert: Indecent Assault at 38th and Market St. Use caution, police on scene, avoid area. See www.publicsafety.upenn.edu for details
"
"Wed, 5 Sep 2018 17:49:34 -0700 (PDT)",Subject: UPennAlert issued at 9/5/18 8:47 PM,"UPennAlert: Robbery no Weapon at 3401 SPRUCE STREET. Use caution, police on scene, avoid area. See www.publicsafety.upenn.edu for details
"
"Tue, 8 Sep 2020 21:42:23 -0700 (PDT)",Subject: UPennAlert issued at 9/9/20 12:40 AM,"UPennAlert: All clear in the area of 4000 block of Chestnut St. Police and Allied Security patrolling the area You may resume normal activity. See www.publicsafety.upenn.edu
"
"Tue, 15 Dec 2020 11:58:03 -0800 (PST)",Subject: UPennAlert issued at 12/15/20 2:55 PM,"UPennAlert: All clear in the area of 400 South 44th Street. Police and Allied Security patrolling the area You may resume normal activity. See www.publicsafety.upenn.edu
"
"Fri, 2 Nov 2018 00:51:07 -0700 (PDT)",Subject: UPennAlert issued at 11/2/18 3:47 AM,"UPennAlert: Burglary at 4000Blk Locust St. Use caution, police on scene, avoid area. See www.publicsafety.upenn.edu for details
"
"Tue, 24 Mar 2020 13:05:50 -0700 (PDT)",Subject: UPennAlert issued at 3/24/20 4:04 PM,"UPennAlert: All clear in the area of 4200 BLOCK WALNUT ST. Police and Allied Security patrolling the area You may resume normal activity. See www.publicsafety.upenn.edu
"
"Fri, 24 Jul 2020 00:57:22 -0700 (PDT)",Subject: UPennAlert issued at 7/24/20 3:56 AM,"UPennAlert: All clear in the area of 4000Blk Pine . Police and Allied Security patrolling the area You may resume normal activity. See www.publicsafety.upenn.edu
"
"Fri, 21 Sep 2018 09:10:11 -0700 (PDT)",Subject: UPennAlert issued at 9/21/18 12:08 PM,"UPennAlert Shelter-In-Place test. Identify shelter area in the building you are currently located. Do not reply, see www.publicsafety.upenn.edu for details.
"
"Wed, 23 Dec 2020 23:01:59 -0800 (PST)",Subject: UPennAlert issued at 12/24/20 2:00 AM,"UPennAlert: Robbery no Weapon at 3900 chestnut st. Use caution, police on scene, avoid area. See www.publicsafety.upenn.edu for details
"
"Sat, 20 Jun 2020 14:34:38 -0700 (PDT)",Subject: UPennAlert issued at 6/20/20 5:32 PM,"UPennAlert: INDECENT ASSAULT at 4100 BLOCK LOCUST STREET. Use caution, police on scene, avoid area. See www.publicsafety.upenn.edu for details
"
"Mon, 14 Sep 2020 15:16:29 -0700 (PDT)",Subject: UPennAlert issued at 9/14/20 6:15 PM,"UPennAlert: All clear in the area of 3900 Block of Walnut St . Police and Allied Security patrolling the area You may resume normal activity. See www.publicsafety.upenn.edu
"
"Thu, 7 Nov 2019 17:21:45 -0800 (PST)",Subject: UPennAlert issued at 11/7/19 8:20 PM,"UPennAlert: All clear in the area of 4300 BLOCK PINE STREET. Police and Allied Security patrolling the area You may resume normal activity. See www.publicsafety.upenn.edu
"
"Thu, 18 Feb 2021 14:32:37 -0800 (PST)",Subject: UPennAlert issued at 2/18/21 5:30 PM,"UPennAlert: University on-campus operations will resume on Friday, February 19, 2021. Modified COVID Testing will continue. For more information go to www.publicsafety.upenn.edu.
"
"Sat, 7 Nov 2020 14:05:07 -0800 (PST)",Subject: UPennAlert issued at 11/7/20 5:03 PM,"UPennAlert: All clear in the area of 4200 BLOCK WALNUT STREET. Police and Allied Security patrolling the area You may resume normal activity. See www.publicsafety.upenn.edu
"
"Thu, 10 Sep 2020 18:13:31 -0700 (PDT)",Subject: UPennAlert issued at 9/10/20 9:12 PM,"UPennAlert: Robbery with Weapon at 200 S 43rd STREET. Use caution, police on scene, avoid area. See www.publicsafety.upenn.edu for details
"
"Thu, 1 Aug 2019 15:31:11 -0700 (PDT)",Subject: UPennAlert issued at 8/1/19 6:30 PM,"UPennAlert: All clear in the area of 36TH &amp; MARKET STREETS. Police and Allied Security patrolling the area You may resume normal activity. See www.publicsafety.upenn.edu
"
"Thu, 29 Oct 2020 09:11:06 -0700 (PDT)",Subject: UPennAlert issued at 10/29/20 12:10 PM,"Thank you for your participation in the UPennAlert &amp; Shelter-in-Place Awareness Test. Please visit www.publicsafety.upenn.edu for more information on all emergency procedures and how to be PennReady. 
"
"Thu, 1 Aug 2019 08:26:55 -0700 (PDT)",Subject: UPennAlert issued at 8/1/19 11:25 AM,"UPennAlert: UPDATE regarding Robbery at 36th &amp; Market. Police have secured the scene. Avoid the area. There are street closures. . See www.publicsafety.upenn.edu for more details. 
"
"Tue, 16 Feb 2021 16:43:32 -0800 (PST)",Subject: UPennAlert issued at 2/16/21 7:42 PM,"UPennAlert: Robbery no Weapon at 4000 Block of Baltimore Ave. Use caution, police on scene, avoid area. See www.publicsafety.upenn.edu for details
"
"Tue, 3 Nov 2020 07:26:29 -0800 (PST)",Subject: UPennAlert issued at 11/3/20 10:25 AM,"UPennAlert: All clear in the area of 200 Block of S. 38th St. Police and Allied Security patrolling the area You may resume normal activity. See www.publicsafety.upenn.edu
"
"Thu, 13 Feb 2020 14:44:53 -0800 (PST)",Subject: UPennAlert issued at 2/13/20 5:44 PM,"UPennAlert: Assault Reported at 3900 Block of Baltimore Ave. Use caution, police on scene, avoid area. See www.publicsafety.upenn.edu for details
"
"Tue, 19 Feb 2019 18:25:25 -0800 (PST)",Subject: UPennAlert issued at 2/19/19 9:22 PM,"UPennAlert: Normal University operations are suspended for Wednesday, February 20, 2019 due to weather. Essential University staff and all Health System physicians and staff are required to report to work. See www.publicsafety.upenn.edu for details.
"
"Fri, 29 Nov 2019 08:26:09 -0800 (PST)",Subject: UPennAlert issued at 11/29/19 11:24 AM,"UPennAlert: Robbery with Weapon at 36th and Market Street . Use caution, police on scene, avoid area. See www.publicsafety.upenn.edu for details
"
